Date;Time;Value date;Product;ISIN;Description;FX;Currency;Change;Balance;;Order ID
30/12/2021;20:40;31/12/2021;;;Flatex Interest;;EUR;-1.28;EUR;597.04;
10/12/2021;16:46;10/12/2021;;;Transfer to your Cash Account at flatexDEGIRO Bank AG: 1.24 EUR;;;;EUR;598.32;
10/12/2021;16:46;10/12/2021;FLATEX EURO BANKACCOUNT;NLFLATEXACNT;Degiro Cash Sweep Transfer;;EUR;-1.24;EUR;597.08;
10/12/2021;07:34;09/12/2021;;;FX Credit;;EUR;1.24;EUR;598.32;
10/12/2021;07:34;09/12/2021;;;FX Debit;11.304;USD;-1.41;USD;0.00;
09/12/2021;07:28;08/12/2021;;;DEGIRO Corporate Action Fee;;USD;-0.16;USD;1.41;
09/12/2021;07:27;08/12/2021;ARCHER DANIELS MIDLAND CO;US0394831020;Dividend;;USD;1.85;USD;1.57;
09/12/2021;07:27;08/12/2021;ARCHER DANIELS MIDLAND CO;US0394831020;Dividend Tax;;USD;-0.28;USD;-0.28;
03/12/2021;18:32;03/12/2021;;;Transfer to your Cash Account at flatexDEGIRO Bank AG: 1.35 EUR;;;;EUR;597.08;
03/12/2021;18:32;03/12/2021;FLATEX EURO BANKACCOUNT;NLFLATEXACNT;Degiro Cash Sweep Transfer;;EUR;-1.35;EUR;595.73;
03/12/2021;08:42;02/12/2021;;;FX Credit;;EUR;1.35;EUR;597.08;
03/12/2021;08:42;02/12/2021;;;FX Debit;11.312;USD;-1.53;USD;0.00;
02/12/2021;07:53;01/12/2021;;;DEGIRO Corporate Action Fee;;USD;-0.17;USD;1.53;
02/12/2021;07:53;01/12/2021;WELLS FARGO & COMPANY;US9497461015;Dividend;;USD;2.00;USD;1.70;
02/12/2021;07:53;01/12/2021;WELLS FARGO & COMPANY;US9497461015;Dividend Tax;;USD;-0.30;USD;-0.30;
26/11/2021;18:48;26/11/2021;;;Transfer to your Cash Account at flatexDEGIRO Bank AG: 24.51 EUR;;;;EUR;595.73;
26/11/2021;18:48;26/11/2021;FLATEX EURO BANKACCOUNT;NLFLATEXACNT;Degiro Cash Sweep Transfer;;EUR;-24.51;EUR;571.22;
26/11/2021;07:42;25/11/2021;;;FX Credit;;EUR;24.51;EUR;595.73;
26/11/2021;07:42;25/11/2021;;;FX Debit;11.221;USD;-27.51;USD;0.00;
25/11/2021;08:47;24/11/2021;;;DEGIRO Corporate Action Fee;;USD;-2.01;USD;27.51;
25/11/2021;08:47;24/11/2021;HIGHWAY HOLDINGS LIMIT;VGG4481U1066;Dividend;;USD;29.52;USD;29.52;
16/11/2021;11:33;15/11/2021;;;Transfer from your Cash Account at flatexDEGIRO Bank AG: 915.81 EUR;;;;EUR;571.22;
16/11/2021;11:33;15/11/2021;FLATEX EURO BANKACCOUNT;NLFLATEXACNT;Degiro Cash Sweep Transfer;;EUR;915.81;EUR;1487.03;
15/11/2021;15:43;15/11/2021;AT&T INC.;US00206R1023;FX Credit;11.428;USD;1045.80;USD;0.00;efd895a0-e581-48e1-a701-f9a09786f6c0
15/11/2021;15:43;15/11/2021;AT&T INC.;US00206R1023;FX Debit;;EUR;-915.16;EUR;571.22;efd895a0-e581-48e1-a701-f9a09786f6c0
15/11/2021;15:43;15/11/2021;AT&T INC.;US00206R1023;DEGIRO Transaction and/or third party fees;;EUR;-0.15;EUR;1486.38;efd895a0-e581-48e1-a701-f9a09786f6c0
15/11/2021;15:43;15/11/2021;AT&T INC.;US00206R1023;DEGIRO Transaction and/or third party fees;;EUR;-0.50;EUR;1486.53;efd895a0-e581-48e1-a701-f9a09786f6c0
15/11/2021;15:43;15/11/2021;AT&T INC.;US00206R1023;Buy 42 AT&T INC.@24.9 USD (US00206R1023);;USD;-1045.80;USD;-1045.80;efd895a0-e581-48e1-a701-f9a09786f6c0
14/10/2021;12:34;13/10/2021;;;Transfer to your Cash Account at flatexDEGIRO Bank AG: 25.57 EUR;;;;EUR;1487.03;
14/10/2021;12:34;13/10/2021;FLATEX EURO BANKACCOUNT;NLFLATEXACNT;Degiro Cash Sweep Transfer;;EUR;-25.57;EUR;1461.46;
13/10/2021;07:31;12/10/2021;;;FX Credit;;EUR;25.57;EUR;1487.03;
13/10/2021;07:31;12/10/2021;;;FX Debit;11.542;USD;-29.52;USD;0.00;
13/10/2021;04:51;12/10/2021;HIGHWAY HOLDINGS LIMIT;VGG4481U1066;Dividend;;USD;29.52;USD;29.52;
01/10/2021;16:31;30/09/2021;;;Flatex Interest;;EUR;-1.81;EUR;1461.46;
13/09/2021;11:46;10/09/2021;;;Transfer to your Cash Account at flatexDEGIRO Bank AG: 1.19 EUR;;;;EUR;1463.27;
13/09/2021;11:46;10/09/2021;FLATEX EURO BANKACCOUNT;NLFLATEXACNT;Degiro Cash Sweep Transfer;;EUR;-1.19;EUR;1462.08;
10/09/2021;07:30;09/09/2021;;;FX Debit;;EUR;1.19;EUR;1463.27;
10/09/2021;07:30;09/09/2021;;;FX Debit;11.835;USD;-1.41;USD;0.00;
09/09/2021;07:28;08/09/2021;;;DEGIRO Corporate Action Fee;;USD;-0.16;USD;1.41;
09/09/2021;07:27;08/09/2021;ARCHER DANIELS MIDLAND CO;US0394831020;Dividend;;USD;1.85;USD;1.57;
09/09/2021;07:27;08/09/2021;ARCHER DANIELS MIDLAND CO;US0394831020;Dividend Tax;;USD;-0.28;USD;-0.28;
06/09/2021;10:46;03/09/2021;;;Transfer to your Cash Account at flatexDEGIRO Bank AG: 1.28 EUR;;;;EUR;1462.08;
06/09/2021;10:46;03/09/2021;FLATEX EURO BANKACCOUNT;NLFLATEXACNT;Degiro Cash Sweep Transfer;;EUR;-1.28;EUR;1460.80;
03/09/2021;07:34;02/09/2021;;;FX Debit;;EUR;1.28;EUR;1462.08;
03/09/2021;07:34;02/09/2021;;;FX Debit;11.887;USD;-1.53;USD;0.00;
02/09/2021;07:24;01/09/2021;;;DEGIRO Corporate Action Fee;;USD;-0.17;USD;1.53;
